Labor Force Total,In Labor Force,Unemployed,Management/Business/Science/Arts,Service Occupations,Sales and Office,Natural Resources/Construction/Maintenance,Production/Transportation/Material Moving,County,state,county
46668,26455,1509,13706,429,89,426,11093,"Sampson County, North Carolina",37,163
27120,14203,1528,6542,280,100,168,6131,"Scotland County, North Carolina",37,165
50742,30075,1304,15691,609,141,644,13048,"Stanly County, North Carolina",37,167
37552,20836,1110,10508,476,30,324,9154,"Stokes County, North Carolina",37,169
58168,33420,1620,17097,808,200,883,14671,"Surry County, North Carolina",37,171
11274,6221,467,2845,118,14,59,2909,"Swain County, North Carolina",37,173
28521,14785,589,7487,541,121,445,6709,"Transylvania County, North Carolina",37,175
2840,1228,48,553,66,0,5,627,"Tyrrell County, North Carolina",37,177
186574,126392,5385,66001,3778,164,3078,54937,"Union County, North Carolina",37,179
33719,19537,1360,8437,624,48,372,9740,"Vance County, North Carolina",37,181
899401,628298,26216,318509,25488,2031,17049,282780,"Wake County, North Carolina",37,183
15962,7859,775,3610,164,0,221,3474,"Warren County, North Carolina",37,185
9115,4495,566,1814,83,32,85,2079,"Washington County, North Carolina",37,187
48773,29147,2718,14109,1586,97,550,12295,"Watauga County, North Carolina",37,189
93010,56605,2656,26142,1367,185,990,24286,"Wayne County, North Carolina",37,191
54382,30470,1814,15671,1131,138,861,12897,"Wilkes County, North Carolina",37,193
62764,36884,2426,17188,709,71,728,17146,"Wilson County, North Carolina",37,195
30516,17903,935,9301,220,65,302,7599,"Yadkin County, North Carolina",37,197
15513,8344,631,3814,188,75,159,3882,"Yancey County, North Carolina",37,199
